Species,Family,Order,SQS,Conservation status,Larval feeding guild,Adult feeding guild,Broad biotope,Habitat,Resources,Specific assemblage type,Habitat score,Associations
Dichetophora obliterata,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,,wetland vegetation,,,Mollusca
Dictya umbrarum,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,wetland,peatland,"base status >> acid, shallow freshwater pond >> aquatic: well vegetated, wet/damp peat, wetland vegetation",,,Mollusca
Ditaeniella grisescens,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,wetland,marshland; peatland,"base status >> acid, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,"Animalia, Mollusca"
Ectinocera borealis,Sciomyzidae,Diptera,8,RDB 3,parasitoid,saprophagous,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter",,,Mollusca
Elgiva cucularia,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Elgiva solicita,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Euthycera fumigata,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> damp",,,Mollusca
Hydromya dorsalis,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,marshland,"base status >> acid, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Lymnaeidae
Ilione albiseta,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,marshland; peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Ilione lineata,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W313,,Pisidium
Limnia paludicola,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,tree-associated,shaded woodland floor,conifer or broadleaved >> broadleaved only,,,
Limnia unguicornis,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,marshland; peatland; running water,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Succinea
Pherbellia albocostata,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> woodland litter",,,"Cochlicopa, Discus"
Pherbellia annulipes,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> woodland litter",,,Discus
Pherbellia argyra,Sciomyzidae,Diptera,8,RDB 2,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W314,,Aplexa
Pherbellia brunnipes,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W314,,Mollusca
Pherbellia cinerella,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,open habitats,tall sward & scrub,habitats >> sward/field layer,,,Mollusca
Pherbellia dorsata,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,wetland,marshland; peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W314,,Mollusca
Pherbellia dubia,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> woodland litter",,,"Cochlicopa, Discus"
Pherbellia griseola,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Pherbellia knutsoni,Sciomyzidae,Diptera,8,RDB 3,parasitoid,saprophagous,wetland,marshland; peatland,,,,Mollusca
Pherbellia nana,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,wetland,marshland; peatland,"base status >> acid, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Gyraulus
Pherbellia pallidiventris,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Pherbellia rozkosnyi,Sciomyzidae,Diptera,1,New to Britain,parasitoid,saprophagous,wetland,,,,,Mollusca
Pherbellia schoenherri,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,marshland; peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Succinea
Pherbellia scutellaris,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> dry, shadiness >> light shade, woodland habitat >> woodland litter",,,Clausilia
Pherbellia sordida,Sciomyzidae,Diptera,,,parasitoid,saprophagous,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> wet, woodland habitat >> woodland litter",,,Mollusca
Pherbellia stylifera,Sciomyzidae,Diptera,,,parasitoid,saprophagous,,,,,,Mollusca
Pherbellia ventralis,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,marshland; peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Stagnicola
Pherbina coryleti,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,marshland,"base status >> acid, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,"Asteraceae, Discus"
Psacadina verbekei,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Psacadina vittigera,Sciomyzidae,Diptera,8,RDB 2,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W314,,Mollusca
Psacadina zernyi,Sciomyzidae,Diptera,8,RDB 2,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W314,,Mollusca
Pteromicra angustipennis,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Pteromicra glabricula,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,wetland,marshland; peatland,"base status >> acid, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,"Asteraceae, Discus"
Pteromicra leucopeza,Sciomyzidae,Diptera,8,RDB 2,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Discus
Pteromicra pectorosa,Sciomyzidae,Diptera,8,RDB 2,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W314,,Anisus (Disculifer) vortex
Renocera pallida,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,tree-associated; wetland,peatland; shaded woodland floor; wet woodland,"conifer or broadleaved >> broadleaved only, humidity >> wet, shadiness >> heavy shade, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,"Animalia, Fagales"
Renocera striata,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W313,,Pisidium
Renocera stroblii,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Salticella fasciata,Sciomyzidae,Diptera,8,RDB 2;Section 41 Priority Species,parasitoid,saprophagous,open habitats,short sward & bare ground,"base status >> base rich, habitats >> exposed sand, soil humidity >> dry, soil type >> sand",F111,,Mollusca
Sciomyza dryomyzina,Sciomyzidae,Diptera,8,RDB 2,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Oxyloma
Sciomyza simplex,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Stagnicola
Sciomyza testacea,Sciomyzidae,Diptera,,,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Succinea
Sepedon sphegea,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,marshland; peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Gyraulus
Sepedon spinipes,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,marshland; peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W314,,Mollusca
Tetanocera arrogans,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W314,,Mollusca
Tetanocera elata,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,open habitats,tall sward & scrub,"habitats >> sward/field layer, soil humidity >> damp",,,Mollusca
Tetanocera ferruginea,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Tetanocera freyi,Sciomyzidae,Diptera,8,RDB 3,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W313,,Mollusca
Tetanocera fuscinervis,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,peatland,"base status >> acid, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Tetanocera hyalipennis,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,tree-associated; wetland,marshland; peatland; shaded woodland floor; wet woodland,"conifer or broadleaved >> broadleaved only, humidity >> wet, shadiness >> heavy shade, shallow freshwater pond >> aquatic: well vegetated",,,"Fagales, Mollusca"
Tetanocera phyllophora,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, woodland habitat >> woodland litter",,,Mollusca
Tetanocera punctifrons,Sciomyzidae,Diptera,4,Notable,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Tetanocera robusta,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Mollusca
Tetanocera silvatica,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,tree-associated; wetland,peatland; shaded woodland floor; wet woodland,"conifer or broadleaved >> broadleaved only, humidity >> wet, shadiness >> heavy shade, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,"Fagales, Mollusca"
Tetanura pallidiventris,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> wet, shadiness >> heavy shade, woodland habitat >> woodland litter",,,"Cochlicopa, Discus"
Trypetoptera punctulata,Sciomyzidae,Diptera,1,,parasitoid,saprophagous,open habitats,tall sward & scrub,"habitats >> unknown, soil humidity >> damp",,,
Meroplius minutus,Sepsidae,Diptera,8,RDB 3,coprophagous,coprophagous,,,dung & carrion >> dung,,,
Nemopoda nitidula,Sepsidae,Diptera,1,,saprophagous,,open habitats; tree-associated,shaded woodland floor; tall sward & scrub,"conifer or broadleaved >> broadleaved only, habitats >> litter & ground layer, humidity >> damp, shadiness >> heavy shade, soil humidity >> damp, woodland habitat >> woodland litter",,,Fagales
Nemopoda pectinulata,Sepsidae,Diptera,4,Notable,coprophagous,nectivore,,,dung & carrion >> dung,,,
Orygma luctuosum,Sepsidae,Diptera,1,,saprophagous,,coastal,sandy beach,tidal litter,,,
Saltella sphondylii,Sepsidae,Diptera,1,,coprophagous,saprophagous,open habitats,tall sward & scrub,"dung & carrion >> dung, soil humidity >> damp",,,Bos
Sepsis biflexuosa,Sepsidae,Diptera,4,Notable,coprophagous,saprophagous,open habitats,tall sward & scrub,"dung & carrion >> dung, soil humidity >> damp",,,Bos
Sepsis cynipsea,Sepsidae,Diptera,1,,coprophagous,nectivore,open habitats,tall sward & scrub,habitats >> litter & ground layer,,,
Sepsis duplicata nomen nudum,Sepsidae,Diptera,1,,coprophagous,saprophagous,open habitats,tall sward & scrub,"dung & carrion >> dung, soil humidity >> damp",,,Bos
Sepsis flavimana,Sepsidae,Diptera,1,,coprophagous,nectivore,open habitats,tall sward & scrub,habitats >> litter & ground layer,,,
Sepsis fulgens,Sepsidae,Diptera,1,,coprophagous,nectivore,open habitats,tall sward & scrub,habitats >> litter & ground layer,,,
Sepsis luteipes,Sepsidae,Diptera,,,coprophagous,coprophagous,,,dung & carrion >> dung,,,
Sepsis neocynipsea,Sepsidae,Diptera,1,,saprophagous,saprophagous,open habitats,tall sward & scrub,soil humidity >> damp,,,Bos
Sepsis nigripes,Sepsidae,Diptera,8,RDB 3,coprophagous,saprophagous,open habitats,tall sward & scrub,"dung & carrion >> dung, soil humidity >> damp",,,Mammalia
Sepsis orthocnemis,Sepsidae,Diptera,1,,coprophagous,nectivore,open habitats,tall sward & scrub,habitats >> litter & ground layer,,,
Sepsis punctum,Sepsidae,Diptera,1,,coprophagous,nectivore,open habitats,tall sward & scrub,habitats >> litter & ground layer,,,
Sepsis thoracica,Sepsidae,Diptera,1,,coprophagous,saprophagous,open habitats,tall sward & scrub,"dung & carrion >> dung, soil humidity >> damp",,,Bos
Sepsis violacea,Sepsidae,Diptera,1,,coprophagous,nectivore,open habitats,tall sward & scrub,habitats >> litter & ground layer,,,
Themira annulipes,Sepsidae,Diptera,1,,saprophagous,nectivore,wetland,marshland; peatland,"drawdown zone: mud/shallow litter, dung & carrion >> dung",,,Animalia
Themira biloba,Sepsidae,Diptera,4,RDB K,saprophagous,nectivore,wetland,marshland; peatland,"drawdown zone: mud/shallow litter, dung & carrion >> dung",,,Animalia
Themira germanica,Sepsidae,Diptera,4,Notable,saprophagous,nectivore,wetland,peatland,wet/damp peat,,,Anatidae
Themira gracilis,Sepsidae,Diptera,4,Notable,saprophagous,nectivore,wetland,peatland,wet/damp peat,,ERS (Diptera): 3,Animalia
Themira leachi,Sepsidae,Diptera,1,,saprophagous,nectivore,wetland,marshland,drawdown zone: mud/shallow litter,,,
Themira lucida,Sepsidae,Diptera,1,,saprophagous,nectivore,wetland,marshland; peatland,drawdown zone: mud/shallow litter,,,
Themira minor,Sepsidae,Diptera,1,,saprophagous,nectivore,wetland,marshland; peatland,drawdown zone: mud/shallow litter,,,
Themira nigricornis,Sepsidae,Diptera,8,RDB 3,coprophagous,nectivore,,,dung & carrion >> dung,,,
Themira pusilla,Sepsidae,Diptera,1,,coprophagous,nectivore,,,dung & carrion >> dung,,,
Themira putris,Sepsidae,Diptera,1,,saprophagous,nectivore,wetland,marshland; peatland,dung & carrion >> dung,,,
Themira superba,Sepsidae,Diptera,1,,saprophagous,nectivore,wetland,marshland; peatland,drawdown zone: mud/shallow litter,,,
Apteromyia claviventris,Sphaeroceridae,Diptera,,,saprophagous,,tree-associated,decaying wood,,,,
Crumomyia fimetaria,Sphaeroceridae,Diptera,,,,,tree-associated,shaded woodland floor,conifer or broadleaved >> broadleaved only,,,
Crumomyia nitida,Sphaeroceridae,Diptera,,,,,tree-associated,shaded woodland floor,conifer or broadleaved >> broadleaved only,,,
Crumomyia roserii,Sphaeroceridae,Diptera,,,fungivore,,tree-associated,decaying wood,"conifer or broadleaved >> broadleaved only, fungal fruiting bodies",,,
Leptocera fontinalis,Sphaeroceridae,Diptera,,,,,tree-associated,shaded woodland floor,conifer or broadleaved >> broadleaved only,,,
Spelobia parapusio,Sphaeroceridae,Diptera,,,,,tree-associated,shaded woodland floor,conifer or broadleaved >> broadleaved only,,,
Thoracochaeta brachystoma,Sphaeroceridae,Diptera,,,saprophagous,,coastal,sandy beach,tidal litter,,,
Thoracochaeta zosterae,Sphaeroceridae,Diptera,,,saprophagous,,coastal,sandy beach,tidal litter,,,
Beris chalybata,Stratiomyidae,Diptera,1,,,,tree-associated,shaded woodland floor,conifer or broadleaved >> broadleaved only,,,
Beris clavipes,Stratiomyidae,Diptera,4,LC;NS,saprophagous,nectivore,wetland,marshland; peatland,"shallow freshwater pond >> aquatic: well vegetated, wet/damp peat, wetland vegetation",,,
Beris fuscipes,Stratiomyidae,Diptera,1,LC;None,saprophagous,nectivore,tree-associated; wetland,peatland; shaded woodland floor; wet woodland,"conifer or broadleaved >> broadleaved only, humidity >> wet, shadiness >> heavy shade, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,Fagales
Beris geniculata,Stratiomyidae,Diptera,1,,saprophagous,nectivore,tree-associated; wetland,peatland; shaded woodland floor; wet woodland,"conifer or broadleaved >> broadleaved only, humidity >> wet, shadiness >> heavy shade, wetland vegetation",,,
Beris morrisii,Stratiomyidae,Diptera,1,,herbivore,saprophagous,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter",,,"Angelica, Petasites hybridus"
Beris vallata,Stratiomyidae,Diptera,1,,saprophagous,phytosaprophagous,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> damp",,,Bryophyta
Chloromyia formosa,Stratiomyidae,Diptera,1,,saprophagous,phytosaprophagous,open habitats,tall sward & scrub,soil humidity >> damp,,,
Chorisops nagatomii,Stratiomyidae,Diptera,4,LC;NS,saprophagous,phytosaprophagous,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> damp",,,
Chorisops tibialis,Stratiomyidae,Diptera,1,,saprophagous,phytosaprophagous,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> wet",,,
Clitellaria ephippium,Stratiomyidae,Diptera,32,Extinct,,,,,,,,
Eupachygaster tarsalis,Stratiomyidae,Diptera,4,LC;NR,saprophagous,phytosaprophagous,tree-associated,decaying wood,"conifer or broadleaved >> broadleaved only, wet hollows >> rot holes",A212,,"Fagus, Fraxinus"
Microchrysa cyaneiventris,Stratiomyidae,Diptera,1,,saprophagous,phytosaprophagous,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> damp",,,
Microchrysa flavicornis,Stratiomyidae,Diptera,1,,coprophagous,phytosaprophagous,open habitats,tall sward & scrub,"dung & carrion >> dung, soil humidity >> damp",,,
Microchrysa polita,Stratiomyidae,Diptera,1,,saprophagous,phytosaprophagous,open habitats,tall sward & scrub,"habitats >> litter & ground layer, soil humidity >> damp",,,
Nemotelus nigrinus,Stratiomyidae,Diptera,1,,saprophagous,nectivore,wetland,peatland,"base status >> base, shallow freshwater pond >> aquatic: well vegetated",,"grazing marsh - salinity: 0, grazing marsh - status: 2, seepage (calcareous): C",
Nemotelus notatus,Stratiomyidae,Diptera,1,,saprophagous,nectivore,coastal,brackish pools & ditches; saltmarsh,saltmarsh vegetation,,"grazing marsh - salinity: 1, grazing marsh - status: 2",
Nemotelus pantherinus,Stratiomyidae,Diptera,4,,saprophagous,nectivore,wetland,peatland; running water,"base status >> base, seepages >> unshaded seepage, shallow freshwater pond >> aquatic: well vegetated",,"grazing marsh - salinity: 0, grazing marsh - status: 2, seepage (calcareous): A",
Nemotelus uliginosus,Stratiomyidae,Diptera,1,,saprophagous,nectivore,coastal,brackish pools & ditches; saltmarsh,saltmarsh vegetation,,"grazing marsh - salinity: 1, grazing marsh - status: 2",Algae
Neopachygaster meromelas,Stratiomyidae,Diptera,4,LC;NS,saprophagous,phytosaprophagous,tree-associated,decaying wood,"bark & cambium >> beneath loose bark, conifer or broadleaved >> broadleaved only",A212,,Populus
Odontomyia angulata,Stratiomyidae,Diptera,8,NR;VU,saprophagous,nectivore,wetland,peatland,"base status >> base, shallow freshwater pond >> aquatic: well vegetated",W314,"grazing marsh - salinity: 0, grazing marsh - status: 5",
Odontomyia argentata,Stratiomyidae,Diptera,4,LC;NS,saprophagous,nectivore,wetland,peatland,"base status >> base, shallow freshwater pond >> aquatic: well vegetated",W314,"grazing marsh - salinity: 0, grazing marsh - status: 5, seepage (calcareous): B",
Odontomyia hydroleon,Stratiomyidae,Diptera,32,CR;NR;Section 41 Priority Species,saprophagous,nectivore,wetland,peatland; running water,"seepages >> base rich seepage, seepages >> unshaded seepage, wetland vegetation",W126,seepage (calcareous): A,
Odontomyia ornata,Stratiomyidae,Diptera,4,LC;NS,saprophagous,nectivore,wetland,peatland,shallow freshwater pond >> aquatic: well vegetated,W314,"grazing marsh - salinity: 0, grazing marsh - status: 5",
Odontomyia tigrina,Stratiomyidae,Diptera,1,LC;None,saprophagous,nectivore,wetland,peatland,shallow freshwater pond >> aquatic: well vegetated,W314,"grazing marsh - salinity: 0, grazing marsh - status: 3",
Oplodontha viridula,Stratiomyidae,Diptera,1,,saprophagous,nectivore,wetland,marshland; peatland,shallow freshwater pond >> aquatic: well vegetated,W314,"grazing marsh - salinity: 0, grazing marsh - status: 2, seepage (calcareous): B",
Oxycera analis,Stratiomyidae,Diptera,8,NR;VU,saprophagous,nectivore,wetland,running water,"seepages >> base rich seepage, seepages >> shaded seepage, seepages >> unshaded seepage, seepages >> woodland seepage",W126,seepage (woodland): B,
Oxycera dives,Stratiomyidae,Diptera,4,LC;NS,saprophagous,nectivore,wetland,running water,"seepages >> shaded seepage, seepages >> unshaded seepage, seepages >> woodland seepage",W126,seepage (calcareous): A,
Oxycera fallenii,Stratiomyidae,Diptera,8,NR;VU,saprophagous,nectivore,wetland,running water,,,seepage (calcareous): A,
Oxycera leonina,Stratiomyidae,Diptera,8,NR;VU,saprophagous,nectivore,wetland,peatland; running water,"base status >> base, shallow freshwater pond >> aquatic: well vegetated",W313,seepage (woodland): A,
Oxycera morrisii,Stratiomyidae,Diptera,4,LC;NS,saprophagous,nectivore,wetland,peatland; running water,wetland vegetation,,"seepage (calcareous): A, seepage (soft rock cliff): A",
Oxycera nigricornis,Stratiomyidae,Diptera,1,,saprophagous,nectivore,wetland,running water,"flow >> slow flow, seepages >> base rich seepage, seepages >> unshaded seepage, wetland vegetation",,"grazing marsh - salinity: 0, grazing marsh - status: 2, seepage (calcareous): A, seepage (woodland): A",
Oxycera pardalina,Stratiomyidae,Diptera,4,LC;NS,saprophagous,nectivore,wetland,running water,"flow >> slow flow, seepages >> base rich seepage, seepages >> shaded seepage, seepages >> unshaded seepage",W126,"seepage (calcareous): A, seepage (soft rock cliff): A",
Oxycera pygmaea,Stratiomyidae,Diptera,4,LC;NS,saprophagous,nectivore,wetland,peatland; running water,"seepages >> base rich seepage, seepages >> unshaded seepage",,"seepage (calcareous): A, seepage (soft rock cliff): A",
Oxycera rara,Stratiomyidae,Diptera,1,,saprophagous,nectivore,wetland,running water,drawdown zone: mud/shallow litter,,"grazing marsh - salinity: 0, grazing marsh - status: 2, seepage (calcareous): B, seepage (soft rock cliff): B",
Oxycera terminata,Stratiomyidae,Diptera,8,LC;NR,saprophagous,nectivore,wetland,running water,"drawdown zone: mud/shallow litter, exposed riverine sediments >> riparian sand, flow >> fast flow, unmodified fast flowing streams",W114,ERS (Diptera): 1,
Oxycera trilineata,Stratiomyidae,Diptera,1,,saprophagous,nectivore,wetland,marshland,"drawdown zone: mud/shallow litter, wetland vegetation",,"grazing marsh - salinity: 0, grazing marsh - status: 2, seepage (calcareous): C, seepage (soft rock cliff): C",
Pachygaster atra,Stratiomyidae,Diptera,1,,saprophagous,saprophagous,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter",,,Ulmus
Pachygaster leachii,Stratiomyidae,Diptera,1,,saprophagous,saprophagous,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> heavy shade, woodland habitat >> woodland litter",,,Quercus
Sargus bipunctatus,Stratiomyidae,Diptera,1,,fungivore;saprophagous,,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> light shade, woodland habitat >> fungal fruiting bodies",,,"Fagales, Fungi"
Sargus cuprarius,Stratiomyidae,Diptera,8,DD;NR,saprophagous,phytosaprophagous,open habitats,tall sward & scrub,soil humidity >> damp,,,
Sargus flavipes,Stratiomyidae,Diptera,4,,saprophagous,phytosaprophagous,open habitats,tall sward & scrub,soil humidity >> damp,,,
Sargus iridatus,Stratiomyidae,Diptera,1,,saprophagous,,tree-associated,shaded woodland floor,conifer or broadleaved >> broadleaved only,,,Fagales
Stratiomys chamaeleon,Stratiomyidae,Diptera,16,EN;NR,saprophagous,nectivore,wetland,peatland; running water,"flow >> slow flow, seepages >> base rich seepage, seepages >> unshaded seepage, wetland vegetation",W126,seepage (calcareous): A,
Stratiomys longicornis,Stratiomyidae,Diptera,4,LC;NS,saprophagous,nectivore,coastal,brackish pools & ditches; saltmarsh,saltmarsh vegetation,M311,"grazing marsh - salinity: 2, grazing marsh - status: 5",
Stratiomys potamida,Stratiomyidae,Diptera,1,LC;None,saprophagous,nectivore,wetland,marshland; peatland; running water,wetland vegetation,W126,"grazing marsh - salinity: 0, grazing marsh - status: 3, seepage (calcareous): B, seepage (soft rock cliff): B, seepage (woodland): B",
Stratiomys singularior,Stratiomyidae,Diptera,1,LC;None,saprophagous,nectivore,coastal; wetland,brackish pools & ditches; peatland; saltmarsh,"aquatic: well vegetated, saline silt, saltmarsh vegetation, shallow freshwater pond >> aquatic: well vegetated",,"grazing marsh - salinity: 0, grazing marsh - status: 3",
Vanoyia tenuicornis,Stratiomyidae,Diptera,4,LC;NS,saprophagous,nectivore,wetland,marshland; peatland,,,"grazing marsh - salinity: 0, grazing marsh - status: 3, seepage (calcareous): B",
Zabrachia tenella,Stratiomyidae,Diptera,16,EN;NR,saprophagous,phytosaprophagous,tree-associated,decaying wood,bark & cambium >> beetle galleries,A212,,Pinus
Strongylophthalmyia ustulata,Strongylophthalmyiidae,Diptera,16,RDB 1,saprophagous,,tree-associated,decaying wood,"bark & cambium >> cambial layer, conifer or broadleaved >> broadleaved only",,,Populus tremula
Anasimyia contracta,Syrphidae,Diptera,1,,herbivore,nectivore,wetland,marshland; peatland,"base status >> acid, wetland vegetation",,,Typha
Anasimyia interpuncta,Syrphidae,Diptera,4,LC;NS,saprophagous,nectivore,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",W313,,
Anasimyia lineata,Syrphidae,Diptera,1,,saprophagous,nectivore,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,
Anasimyia lunulata,Syrphidae,Diptera,4,LC;NS,saprophagous,nectivore,wetland,peatland,"base status >> acid, shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,acid mire: C,
Anasimyia transfuga,Syrphidae,Diptera,1,,saprophagous,nectivore,wetland,peatland,"shallow freshwater pond >> aquatic: well vegetated, wetland vegetation",,,
Arctophila superbiens,Syrphidae,Diptera,1,,saprophagous,nectivore,wetland,peatland; running water,"base status >> acid-neutral, drawdown zone: mud/shallow litter, wetland vegetation",,"seepage (acid-neutral): B, seepage (woodland): B",
Baccha elongata,Syrphidae,Diptera,1,,predator,nectivore,tree-associated,shaded woodland floor,"conifer or broadleaved >> broadleaved only, humidity >> damp, shadiness >> light shade, woodland habitat >> undergrowth",,,Aphididae
Blera fallax,Syrphidae,Diptera,32,CR;NR;Section 41 Priority Species,saprophagous,nectivore,tree-associated,decaying wood,"conifer or broadleaved >> conifer only, decaying wood >> moist white rot, flowers (adult), wet hollows >> inundated rot holes",A211,,Pinus
Brachyopa bicolor,Syrphidae,Diptera,4,LC;NS,saprophagous,phytosaprophagous,tree-associated,decaying wood,conifer or broadleaved >> broadleaved only,A212,,"Aesculus, Betula, Cossus cossus, Quercus"
