sampleid	processid
CARR_005_B12	CARR1476-23
CARR_005_B2	CARR1396-23
CARR_005_B3	CARR1404-23
CARR_005_B4	CARR1412-23
CARR_005_B5	CARR1420-23
CARR_005_B6	CARR1428-23
CARR_005_B7	CARR1436-23
CARR_005_B8	CARR1444-23
CARR_005_B9	CARR1452-23
CARR_005_C1	CARR1389-23
CARR_005_C10	CARR1461-23
CARR_005_C11	CARR1469-23
CARR_005_C12	CARR1477-23
CARR_005_C2	CARR1397-23
CARR_005_C3	CARR1405-23
CARR_005_C4	CARR1413-23
CARR_005_C5	CARR1421-23
CARR_005_C6	CARR1429-23
CARR_005_C7	CARR1437-23
CARR_005_C8	CARR1445-23
CARR_005_C9	CARR1453-23
CARR_005_D1	CARR1390-23
CARR_005_D10	CARR1462-23
CARR_005_D11	CARR1470-23
CARR_005_D12	CARR1478-23
CARR_005_D2	CARR1398-23
CARR_005_D3	CARR1406-23
CARR_005_D4	CARR1414-23
CARR_005_D5	CARR1422-23
CARR_005_D6	CARR1430-23
CARR_005_D7	CARR1438-23
CARR_005_D8	CARR1446-23
CARR_005_D9	CARR1454-23
CARR_005_E1	CARR1391-23
CARR_005_E10	CARR1463-23
CARR_005_E11	CARR1471-23
CARR_005_E12	CARR1479-23
CARR_005_E2	CARR1399-23
CARR_005_E3	CARR1407-23
CARR_005_E4	CARR1415-23
CARR_005_E5	CARR1423-23
CARR_005_E6	CARR1431-23
CARR_005_E7	CARR1439-23
CARR_005_E8	CARR1447-23
CARR_005_E9	CARR1455-23
CARR_005_F1	CARR1392-23
CARR_005_F10	CARR1464-23
CARR_005_F11	CARR1472-23
CARR_005_F12	CARR1480-23
CARR_005_F2	CARR1400-23
CARR_005_F3	CARR1408-23
CARR_005_F4	CARR1416-23
CARR_005_F5	CARR1424-23
CARR_005_F6	CARR1432-23
CARR_005_F7	CARR1440-23
CARR_005_F8	CARR1448-23
CARR_005_F9	CARR1456-23
CARR_005_G1	CARR1393-23
CARR_005_G10	CARR1465-23
CARR_005_G11	CARR1473-23
CARR_005_G12	CARR1481-23
CARR_005_G2	CARR1401-23
CARR_005_G3	CARR1409-23
CARR_005_G4	CARR1417-23
CARR_005_G5	CARR1425-23
CARR_005_G6	CARR1433-23
CARR_005_G7	CARR1441-23
CARR_005_G8	CARR1449-23
CARR_005_G9	CARR1457-23
CARR_005_H1	CARR1394-23
CARR_005_H10	CARR1466-23
CARR_005_H11	CARR1474-23
CARR_005_H2	CARR1402-23
CARR_005_H3	CARR1410-23
CARR_005_H4	CARR1418-23
CARR_005_H5	CARR1426-23
CARR_005_H6	CARR1434-23
CARR_005_H7	CARR1442-23
CARR_005_H8	CARR1450-23
CARR_005_H9	CARR1458-23
CARR_006_A1	CARR1482-23
CARR_006_A10	CARR1554-23
CARR_006_A11	CARR1562-23
CARR_006_A12	CARR1570-23
CARR_006_A2	CARR1490-23
CARR_006_A3	CARR1498-23
CARR_006_A4	CARR1506-23
CARR_006_A5	CARR1514-23
CARR_006_A6	CARR1522-23
CARR_006_A7	CARR1530-23
CARR_006_A8	CARR1538-23
CARR_006_A9	CARR1546-23
CARR_006_B1	CARR1483-23
CARR_006_B10	CARR1555-23
CARR_006_B11	CARR1563-23
CARR_006_B12	CARR1571-23
CARR_006_B2	CARR1491-23
CARR_006_B3	CARR1499-23
CARR_006_B4	CARR1507-23
CARR_006_B5	CARR1515-23
CARR_006_B6	CARR1523-23
CARR_006_B7	CARR1531-23
CARR_006_B8	CARR1539-23
CARR_006_B9	CARR1547-23
CARR_006_C1	CARR1484-23
CARR_006_C10	CARR1556-23
CARR_006_C11	CARR1564-23
CARR_006_C12	CARR1572-23
CARR_006_C2	CARR1492-23
CARR_006_C3	CARR1500-23
CARR_006_C4	CARR1508-23
CARR_006_C5	CARR1516-23
CARR_006_C6	CARR1524-23
CARR_006_C7	CARR1532-23
CARR_006_C8	CARR1540-23
CARR_006_C9	CARR1548-23
CARR_006_D1	CARR1485-23
CARR_006_D10	CARR1557-23
CARR_006_D11	CARR1565-23
CARR_006_D12	CARR1573-23
CARR_006_D2	CARR1493-23
CARR_006_D3	CARR1501-23
CARR_006_D4	CARR1509-23
CARR_006_D5	CARR1517-23
CARR_006_D6	CARR1525-23
CARR_006_D7	CARR1533-23
CARR_006_D8	CARR1541-23
CARR_006_D9	CARR1549-23
CARR_006_E1	CARR1486-23
CARR_006_E10	CARR1558-23
CARR_006_E11	CARR1566-23
CARR_006_E12	CARR1574-23
CARR_006_E2	CARR1494-23
CARR_006_E3	CARR1502-23
CARR_006_E4	CARR1510-23
CARR_006_E5	CARR1518-23
CARR_006_E6	CARR1526-23
CARR_006_E7	CARR1534-23
CARR_006_E8	CARR1542-23
CARR_006_E9	CARR1550-23
CARR_006_F1	CARR1487-23
CARR_006_F10	CARR1559-23
CARR_006_F11	CARR1567-23
CARR_006_F12	CARR1575-23
CARR_006_F2	CARR1495-23
CARR_006_F3	CARR1503-23
CARR_006_F4	CARR1511-23
CARR_006_F5	CARR1519-23
CARR_006_F6	CARR1527-23
CARR_006_F7	CARR1535-23
CARR_006_F8	CARR1543-23
CARR_006_F9	CARR1551-23
CARR_006_G1	CARR1488-23
CARR_006_G10	CARR1560-23
CARR_006_G11	CARR1568-23
CARR_006_G12	CARR1576-23
CARR_006_G2	CARR1496-23
CARR_006_G3	CARR1504-23
CARR_006_G4	CARR1512-23
CARR_006_G5	CARR1520-23
CARR_006_G6	CARR1528-23
CARR_006_G7	CARR1536-23
CARR_006_G8	CARR1544-23
CARR_006_G9	CARR1552-23
CARR_006_H1	CARR1489-23
CARR_006_H10	CARR1561-23
CARR_006_H11	CARR1569-23
CARR_006_H2	CARR1497-23
CARR_006_H3	CARR1505-23
CARR_006_H4	CARR1513-23
CARR_006_H5	CARR1521-23
CARR_006_H6	CARR1529-23
CARR_006_H7	CARR1537-23
CARR_006_H8	CARR1545-23
CARR_006_H9	CARR1553-23
CARR_007_A1	CARR1577-23
CARR_007_A10	CARR1649-23
CARR_007_A11	CARR1657-23
CARR_007_A12	CARR1665-23
CARR_007_A2	CARR1585-23
CARR_007_A3	CARR1593-23
CARR_007_A4	CARR1601-23
CARR_007_A5	CARR1609-23
CARR_007_A6	CARR1617-23
CARR_007_A7	CARR1625-23
CARR_007_A8	CARR1633-23
CARR_007_A9	CARR1641-23
CARR_007_B1	CARR1578-23
CARR_007_B10	CARR1650-23
CARR_007_B11	CARR1658-23
CARR_007_B12	CARR1666-23
CARR_007_B2	CARR1586-23
CARR_007_B3	CARR1594-23
CARR_007_B4	CARR1602-23
CARR_007_B5	CARR1610-23
